"book","chapter","verse","edition","text" 
"Ev","3","01","2.01","ἐν@pd ἔτος@ndnsc πεντεκαιδέκατος@aodnsn ὁ@dgfs ἡγεμονία@ngfsc Τιβέριος@ngmsp Καῖσαρ@ngmsp []" 
"Ev","4","31","2.01","ὁ@dnms θεός@nnmsc κατέρχομαι@viaa3s εἰς@pa Καφαρναούμ@nafsp πόλις@nafsc ὁ@dgfs Γαλιλαία@ngfsp καί@cc εἰμί@viia3s διδάσκω@vppanms ἐν@pd ὁ@ddnp σάββατον@ndnpc" 
"Ev","4","32","2.01","καί@cc ἐκπλήσσω@viip3p ἐπί@pd ὁ@ddfs διδαχή@ndfsc αὐτός@rpgms ὅτι@cs ἐν@pd ἐξουσία@ndfsc εἰμί@viia3s ὁ@dnms λόγος@nnmsc αὐτός@rpgms" 
"Ev","4","33","2.01","καί@cc ἐν@pd ὁ@ddfs συναγωγή@ndfsc εἰμί@viia3s ἄνθρωπος@nnmsc ἔχω@vppanms πνεῦμα@nansc δαιμόνιον@ngnsc ἀκάθαρτος@angnsn καί@cc ἀνακράζω@viaa3s φωνή@ndfsc μέγας@andfsn" 
"Ev","4","34","2.01","λέγω@vppanms ἔα@i τίς@rqnns ἐγώ@rpd-p καί@cc σύ@rpd-s Ἰησοῦς@nvmsp ἔρχομαι@viaa2s ἀπόλλυμι@vnaa ἐγώ@rpa-p οἶδα@vixa1s σύ@rpa-s τίς@rqnms εἰμί@vipa2s ὁ@dnms ἅγιος@annmsn ὁ@dgms θεός@ngmsc" 
"Ev","4","35","2.01","καί@cc ἐπιτιμάω@viaa3s αὐτός@rpdns ὁ@dnms Ἰησοῦς@nnmsp λέγω@vppanms φιμόω@vdap2s καί@cc ἐξέρχομαι@vdaa2s ἐκ@pg αὐτός@rpgms καί@cc ῥίπτω@vpaanns αὐτός@rpams ὁ@dnns δαιμόνιον@nnnsc εἰς@pa μέσος@anansn ἐξέρχομαι@viaa3s ἀπό@pg αὐτός@rpgms μηδείς@rians βλάπτω@vpaanns αὐτός@rpams" 
"Ev","4","36","2.01","καί@cc γίνομαι@viam3s θάμβος@nnmsc ἐπί@pa πᾶς@aiampn καί@cc συλλαλέω@viia3p πρός@pa ἀλλήλων@reamp λέγω@vppanmp τίς@rqnms ὁ@dnms λόγος@nnmsc οὗτος@rdnms ὅτι@cs ἐν@pd ἐξουσία@ndfsc καί@cc δύναμις@ndfsc ἐπιτάσσω@vipa3s ὁ@ddnp ἀκάθαρτος@andnpn πνεῦμα@ndnpc καί@cc ἐξέρχομαι@vipm3p" 
"Ev","4","37","2.01","καί@cc ἐκπορεύομαι@viim3s ἦχος@nnmsc περί@pg αὐτός@rpgms εἰς@pa πᾶς@aiamsn τόπος@namsc ὁ@dgfs περίχωρος@angfsn" 
"Ev","4","38","2.01","ἀνίστημι@vpaanms δέ@cc ἐκ@pg ὁ@dgfs συναγωγή@ngfsc εἰσέρχομαι@viaa3s εἰς@pa ὁ@dafs οἰκία@nafsc Σίμων@ngmsp πενθερά@nnfsc δέ@cc ὁ@dgms Σίμων@ngmsp εἰμί@viia3s συνέχω@vpppnfs πυρετός@ndmsc μέγας@andmsn καί@cc ἐρωτάω@viaa3p αὐτός@rpams περί@pg αὐτός@rpgfs" 
"Ev","4","39","2.01","καί@cc ἐφίστημι@vpaanms ἐπάνω@pg αὐτός@rpgfs ἐπιτιμάω@viaa3s ὁ@ddms πυρετός@ndmsc καί@cc ἀφίημι@viaa3s αὐτός@rpafs παραχρῆμα@b δέ@cc ἀνίστημι@vpaanfs διακονέω@viia3s αὐτός@rpdmp" 
"Ev","4","16","2.01","καί@cc ἔρχομαι@viaa3s εἰς@pa ὁ@dafs Ναζαρά@nafsp καί@cc εἰσέρχομαι@viaa3s εἰς@pa ὁ@dafs συναγωγή@nafsc" 
"Ev","4","20","2.01","καί@cc καθίζω@viaa3s καί@cc πᾶς@aigmpn ἐν@pd ὁ@ddfs συναγωγή@ndfsc ὁ@dnmp ὀφθαλμός@nnmpc εἰμί@viia3p ἀτενίζω@vppanmp αὐτός@rpdms" 
"Ev","4","21","2.01","ἄρχω@viam3s δέ@cc λέγω@vnpa πρός@pa αὐτός@rpamp" 
"Ev","4","22","2.01","καί@cc πᾶς@ainmpn θαυμάζω@viia3p ἐπί@pd ὁ@ddmp λόγος@ndmpc ὁ@ddmp ἐκπορεύομαι@vppmdmp ἐκ@pg ὁ@dgns στόμα@ngnsc αὐτός@rpgms" 
"Ev","4","23","2.01","καί@cc λέγω@viaa3s πρός@pa αὐτός@rpamp πάντως@b λέγω@vifa2p ἐγώ@rpd-s ὁ@dafs παραβολή@nafsc οὗτος@rdafs ἰατρός@nvmsc θεραπεύω@vdaa2s σεαυτοῦ@rxams ὅσος@rranp ἀκούω@viaa1p γίνομαι@vpamanp εἰς@pa Καφαρναούμ@nafsp ποιέω@vdaa2s καί@b ὧδε@b" 
"Ev","4","28","2.01","καί@cc πίμπλημι@viap3p πᾶς@ainmpn θυμός@ngmsc ἐν@pd ὁ@ddfs συναγωγή@ndfsc ἀκούω@vppanmp οὗτος@rdanp" 
"Ev","4","29","2.01","καί@cc ἀνίστημι@vpaanmp ἐκβάλλω@viaa3p αὐτός@rpams ἔξω@pg ὁ@dgfs πόλις@ngfsc καί@cc ἄγω@viaa3p αὐτός@rpams ἕως@pg ὁ@dgfs ὀφρύς@ngfsc ὁ@dgns ὄρος@ngnsc ἐπί@pg ὅς@rrgns ὁ@dnfs πόλις@nnfsc αὐτός@rpgmp οἰκοδομέω@viyp3s ὥστε@cs κατακρημνίζω@vnaa αὐτός@rpams" 
"Ev","4","30","2.01","αὐτός@rtnms δέ@cc διέρχομαι@vpaanms διά@pg μέσος@angnsn αὐτός@rpgmp πορεύομαι@viim3s" 
"Ev","4","40","2.01","δύνω@vppagms δέ@cc ὁ@dgms ἥλιος@ngmsc πᾶς@ainmpn ὅσος@rrnmp ἔχω@viia3p ἀσθενέω@vppaamp νόσος@ndfpc ποικίλος@andfpn ἄγω@viaa3p αὐτός@rpamp πρός@pa αὐτός@rpams ὁ@dnms δέ@cc εἷς@acdmsn ἕκαστος@aidmsn αὐτός@rpgmp ὁ@dafp χείρ@nafpc ἐπιτίθημι@vppanms θεραπεύω@viia3s αὐτός@rpamp" 
